title,snippet,url,published_date,section,subsection
"That Jeb Bush Freight Train? A Wreck, Marco Rubio Allies Chortle","After Mr. Bush’s “super PAC,” Right to Rise, imagined Mr. Rubio as a weathervane and Mr. Bush as a freight train by comparison, the super PAC behind Mr. Rubio, fired back.",https://www.nytimes.com/2016/01/15/us/politics/that-jeb-bush-freight-train-a-wreck-marco-rubio-allies-chortle.html,2016-01-14T22:17:03+0000,U.S.,Politics
Donald Trump’s Popularity Hits New Heights in Latest National Poll,"Donald J. Trump’s popularity has climbed to its highest level to date less than a month before the first Republican votes will be cast, according to a new national NBC/Wall Street Journal poll.",https://www.nytimes.com/politics/first-draft/2016/01/14/donald-trumps-popularity-hits-new-heights-in-latest-national-poll/,2016-01-14T22:03:25+0000,U.S.,Politics
"New Bernie Sanders Ad, on Wall Street, Fires Back at Hillary Clinton",The new ad for Senator Bernie Sanders claims that Mrs. Clinton’s plan to regulate Wall Street is disingenuous.,https://www.nytimes.com/2016/01/15/us/politics/bernie-sanders-ad-fires-back-at-hillary-clinton-on-wall-street.html,2016-01-14T19:37:33+0000,U.S.,Politics
"Pulled in 2 Directions, Marco Rubio Toughens on Immigration, a Little","Faced with attacks from Ted Cruz and Donald Trump, Mr. Rubio has pushed stiffer policies, while still supporting a change in the law to offer a path to citizenship to illegal immigrants.",https://www.nytimes.com/2016/01/15/us/politics/marco-rubio-immigration.html,2016-01-14T18:24:12+0000,U.S.,Politics
Martin O’Malley Makes the Cut for Next Democratic Debate,"Though his low polling numbers raised the possibility he would be excluded from Sunday’s Democratic presidential debate, former Gov. Martin O’Malley of Maryland will be onstage, NBC News said.",https://www.nytimes.com/politics/first-draft/2016/01/14/martin-omalley-makes-the-cut-for-next-democratic-debate/,2016-01-14T18:14:31+0000,U.S.,Politics
Verbatim: Barack Obama on Michelle Obama’s Presidential Ambitions,"“Let me tell you, there are three things that are certain in life: death, taxes, and Michelle is not running for president.” — President Obama",https://www.nytimes.com/politics/first-draft/2016/01/14/verbatim-barack-obama-on-michelle-obamas-presidential-ambitions/,2016-01-14T17:28:54+0000,U.S.,Politics
Ben Carson’s Campaign Finance Chief Quits,The disarray within Ben Carson’s campaign continued as his campaign’s finance chairman resigned hours before Republican presidential candidates were set to gather in South Carolina for their next debate.,https://www.nytimes.com/politics/first-draft/2016/01/14/ben-carsons-campaign-finance-chief-quits/,2016-01-14T17:07:07+0000,U.S.,Politics
Donald Trump Disavows Actions by White Nationalist Promoting His Bid,Donald J. Trump took the rare step of “disavowing” the endorsement of a prominent white nationalist who supports Mr. Trump’s ban on Muslim immigration and who said the United States needs more white immigrants who can assimilate.,https://www.nytimes.com/politics/first-draft/2016/01/14/donald-trump-disavows-actions-by-white-nationalist-promoting-his-bid/,2016-01-14T16:44:37+0000,U.S.,Politics
How to Watch the Republican Debate,"Seven Republicans will be on the main stage in South Carolina for the party’s sixth nationally televised debate, starting 9 p.m. Thursday on Fox Business Network.",https://www.nytimes.com/2016/01/15/us/politics/how-to-watch-republican-debate.html,2016-01-14T16:09:17+0000,U.S.,Politics
Campaign Aides Defend Bernie Sanders’s Record on Gun Votes,"Bernie Sanders opposed keeping background-check records tied to gun purchases for 90 days, putting him at odds with Hillary Clinton.",https://www.nytimes.com/politics/first-draft/2016/01/15/campaign-aides-defend-bernie-sanderss-record-on-gun-votes/,2016-01-15T23:52:25+0000,U.S.,Politics
